Daily Observed Min/Max Temperature & Precipitation,,,,
,DallasFtWorth TX - KDFW,,,
7-Nov-17,51,64,57.5,-
8-Nov-17,46,51,48.5,0.81
9-Nov-17,46,57,51.5,-
10-Nov-17,43,65,54,-
11-Nov-17,57,71,64,-
12-Nov-17,61,72,66.5,-
13-Nov-17,54,69,61.5,-
14-Nov-17,62,80,71,-
15-Nov-17,65,75,70,-
16-Nov-17,62,74,68,-
17-Nov-17,69,85,77,-
18-Nov-17,48,75,61.5,-
19-Nov-17,38,63,50.5,-
20-Nov-17,41,67,54,-
21-Nov-17,48,71,59.5,-
22-Nov-17,41,56,48.5,-
23-Nov-17,35,69,52,-
24-Nov-17,45,79,62,-
25-Nov-17,47,76,61.5,-
26-Nov-17,45,73,59,-
27-Nov-17,50,76,63,-
28-Nov-17,55,79,67,-
29-Nov-17,50,66,58,-
30-Nov-17,44,69,56.5,-
1-Dec-17,46,74,60,-
2-Dec-17,56,79,67.5,-
3-Dec-17,56,80,68,-
4-Dec-17,57,84,70.5,0.27
5-Dec-17,47,58,52.5,0.02
6-Dec-17,46,56,51,-
7-Dec-17,32,51,41.5,-
8-Dec-17,22,50,36,-
9-Dec-17,30,61,45.5,-
10-Dec-17,33,74,53.5,-
11-Dec-17,37,79,58,-
12-Dec-17,41,58,49.5,-
13-Dec-17,34,77,55.5,-
14-Dec-17,42,62,52,-
15-Dec-17,36,57,46.5,-
16-Dec-17,38,63,50.5,0.73
17-Dec-17,45,53,49,-
18-Dec-17,49,54,51.5,-
19-Dec-17,53,61,57,2.95
20-Dec-17,50,62,56,-
21-Dec-17,47,78,62.5,-
22-Dec-17,37,66,51.5,0.56
23-Dec-17,35,52,43.5,-
24-Dec-17,34,47,40.5,-
25-Dec-17,27,48,37.5,-
26-Dec-17,38,46,42,0.03
27-Dec-17,34,41,37.5,-
28-Dec-17,37,43,40,-
29-Dec-17,40,49,44.5,-
30-Dec-17,35,49,42,-
31-Dec-17,23,35,29,-
1-Jan-18,17,30,23.5,-
2-Jan-18,21,28,24.5,-
3-Jan-18,19,50,34.5,-
4-Jan-18,27,51,39,-
5-Jan-18,31,64,47.5,-
6-Jan-18,34,66,50,-
7-Jan-18,53,62,57.5,0.18
8-Jan-18,41,61,51,-
9-Jan-18,37,54,45.5,-
10-Jan-18,47,60,53.5,-
11-Jan-18,31,62,46.5,-
12-Jan-18,24,45,34.5,-
13-Jan-18,27,48,37.5,-
14-Jan-18,28,57,42.5,-
15-Jan-18,30,59,44.5,-
16-Jan-18,19,32,25.5,-
17-Jan-18,13,37,25,-
18-Jan-18,18,48,33,-
19-Jan-18,37,58,47.5,-
20-Jan-18,53,73,63,0.03
21-Jan-18,59,77,68,0.56
22-Jan-18,45,62,53.5,-
23-Jan-18,34,61,47.5,-
24-Jan-18,32,64,48,-
25-Jan-18,35,69,52,-
26-Jan-18,51,66,58.5,0.02
27-Jan-18,46,67,56.5,0.05
28-Jan-18,37,67,52,-
29-Jan-18,38,57,47.5,-
30-Jan-18,33,66,49.5,-
31-Jan-18,45,77,61,-
1-Feb-18,44,65,54.5,-
2-Feb-18,34,55,44.5,-
3-Feb-18,40,60,50,-
4-Feb-18,36,67,51.5,-
5-Feb-18,25,47,36,-
6-Feb-18,33,44,38.5,0.27
7-Feb-18,31,50,40.5,-
8-Feb-18,30,62,46,-
9-Feb-18,42,73,57.5,-
10-Feb-18,32,61,46.5,-
11-Feb-18,27,44,35.5,-
12-Feb-18,27,48,37.5,-
13-Feb-18,41,48,44.5,-
14-Feb-18,45,79,62,0.01
15-Feb-18,65,82,73.5,-
16-Feb-18,47,71,59,-
17-Feb-18,43,67,55,0.29
18-Feb-18,47,67,57,0.02
19-Feb-18,67,79,73,-
20-Feb-18,39,74,56.5,2.08
21-Feb-18,34,39,36.5,1.86
22-Feb-18,34,42,38,0.37
23-Feb-18,40,51,45.5,0.48
24-Feb-18,47,65,56,1.17
25-Feb-18,41,69,55,-
26-Feb-18,43,70,56.5,-
27-Feb-18,49,66,57.5,0.04
28-Feb-18,62,71,66.5,4.72
1-Mar-18,47,64,55.5,0.05
2-Mar-18,43,72,57.5,-
3-Mar-18,50,75,62.5,-
4-Mar-18,63,72,67.5,0.02
5-Mar-18,51,73,62,-
6-Mar-18,41,69,55,-
7-Mar-18,38,62,50,-
8-Mar-18,43,72,57.5,-
9-Mar-18,52,78,65,-
10-Mar-18,63,85,74,-
11-Mar-18,50,70,60,-
12-Mar-18,41,64,52.5,-
13-Mar-18,46,65,55.5,-
14-Mar-18,37,71,54,-
15-Mar-18,49,79,64,-
16-Mar-18,62,87,74.5,-
17-Mar-18,54,81,67.5,0.51
18-Mar-18,60,81,70.5,0.07
19-Mar-18,52,75,63.5,-
20-Mar-18,46,68,57,-
21-Mar-18,46,75,60.5,-
22-Mar-18,50,81,65.5,-
23-Mar-18,62,78,70,-
24-Mar-18,65,89,77,-
25-Mar-18,63,78,70.5,-
26-Mar-18,70,88,79,-
27-Mar-18,58,72,65,1.7
28-Mar-18,54,67,60.5,0.55
29-Mar-18,53,74,63.5,-
30-Mar-18,48,72,60,-
31-Mar-18,51,80,65.5,-
1-Apr-18,44,73,58.5,-
2-Apr-18,42,61,51.5,-
3-Apr-18,51,85,68,0.17
4-Apr-18,43,64,53.5,-
5-Apr-18,46,76,61,-
6-Apr-18,49,87,68,0.05
7-Apr-18,34,49,41.5,-
8-Apr-18,35,56,45.5,-
9-Apr-18,43,70,56.5,-
10-Apr-18,46,72,59,-
11-Apr-18,49,81,65,-
12-Apr-18,62,82,72,-
13-Apr-18,64,88,76,0.01
14-Apr-18,44,64,54,-
15-Apr-18,38,65,51.5,-
16-Apr-18,40,82,61,-
17-Apr-18,58,87,72.5,-
18-Apr-18,54,79,66.5,-
19-Apr-18,49,70,59.5,-
20-Apr-18,48,70,59,-
21-Apr-18,52,65,58.5,0.45
22-Apr-18,51,69,60,-
23-Apr-18,51,76,63.5,-
24-Apr-18,53,84,68.5,-
25-Apr-18,50,71,60.5,0.11
26-Apr-18,47,73,60,-
27-Apr-18,56,80,68,-
28-Apr-18,50,85,67.5,-
29-Apr-18,58,85,71.5,-
30-Apr-18,59,82,70.5,-
1-May-18,68,80,74,-
2-May-18,71,87,79,0.01
3-May-18,66,78,72,0.64
4-May-18,62,73,67.5,0.73
5-May-18,58,82,70,-
6-May-18,58,88,73,-
7-May-18,62,92,77,-
8-May-18,67,90,78.5,-
9-May-18,67,88,77.5,-
10-May-18,65,87,76,-
11-May-18,70,89,79.5,-
12-May-18,73,90,81.5,-
13-May-18,72,90,81,-
14-May-18,73,89,81,-
15-May-18,72,88,80,-
16-May-18,69,91,80,-
17-May-18,67,93,80,-
18-May-18,71,95,83,-
19-May-18,72,92,82,-
20-May-18,66,80,73,0.48
21-May-18,66,89,77.5,-
22-May-18,68,89,78.5,-
23-May-18,70,91,80.5,-
24-May-18,69,90,79.5,-
25-May-18,74,91,82.5,-
26-May-18,68,97,82.5,0.01
27-May-18,75,96,85.5,-
28-May-18,73,94,83.5,-
29-May-18,73,95,84,-
30-May-18,76,94,85,-
31-May-18,75,96,85.5,-
1-Jun-18,76,96,86,-
2-Jun-18,78,98,88,-
3-Jun-18,74,92,83,-
4-Jun-18,67,84,75.5,0.2
5-Jun-18,71,94,82.5,-
6-Jun-18,72,96,84,0.3
7-Jun-18,72,95,83.5,0.63
8-Jun-18,71,94,82.5,-
9-Jun-18,76,94,85,-
10-Jun-18,75,96,85.5,-
11-Jun-18,78,95,86.5,-
12-Jun-18,78,95,86.5,-
13-Jun-18,78,97,87.5,-
14-Jun-18,78,97,87.5,-
15-Jun-18,77,97,87,-
16-Jun-18,77,95,86,-
17-Jun-18,76,94,85,-
18-Jun-18,77,92,84.5,-
19-Jun-18,73,85,79,0.05
20-Jun-18,74,92,83,0.03
21-Jun-18,74,98,86,-
22-Jun-18,80,101,90.5,-
23-Jun-18,76,97,86.5,0.02
24-Jun-18,81,99,90,-
25-Jun-18,73,94,83.5,0.04
26-Jun-18,79,99,89,-
27-Jun-18,79,100,89.5,-
28-Jun-18,79,100,89.5,-
29-Jun-18,78,99,88.5,-
30-Jun-18,78,100,89,-
1-Jul-18,77,102,89.5,-
2-Jul-18,78,101,89.5,-
3-Jul-18,79,103,91,-
4-Jul-18,76,93,84.5,-
5-Jul-18,73,97,85,-
6-Jul-18,78,97,87.5,-
7-Jul-18,74,96,85,-
8-Jul-18,76,96,86,-
9-Jul-18,75,91,83,-
10-Jul-18,73,96,84.5,0.03
11-Jul-18,74,98,86,-
12-Jul-18,72,98,85,0.16
13-Jul-18,72,97,84.5,-
14-Jul-18,79,100,89.5,-
15-Jul-18,79,100,89.5,-
16-Jul-18,80,101,90.5,-
17-Jul-18,80,104,92,-
18-Jul-18,82,106,94,-
19-Jul-18,83,108,95.5,-
20-Jul-18,81,108,94.5,-
21-Jul-18,81,109,95,-
22-Jul-18,79,109,94,-
23-Jul-18,82,104,93,-
24-Jul-18,77,98,87.5,-
25-Jul-18,77,100,88.5,-
26-Jul-18,78,103,90.5,-
27-Jul-18,86,99,92.5,-
28-Jul-18,81,101,91,-
29-Jul-18,80,101,90.5,-
30-Jul-18,72,90,81,0.05
31-Jul-18,72,93,82.5,0.01
1-Aug-18,68,94,81,-
2-Aug-18,72,96,84,-
3-Aug-18,73,97,85,-
4-Aug-18,72,98,85,-
5-Aug-18,77,99,88,-
6-Aug-18,79,97,88,-
7-Aug-18,79,100,89.5,-
8-Aug-18,79,93,86,-
9-Aug-18,74,97,85.5,0.24
10-Aug-18,73,84,78.5,0.21
11-Aug-18,70,78,74,2.04
12-Aug-18,72,87,79.5,0.01
13-Aug-18,73,88,80.5,0.32
14-Aug-18,74,90,82,0.08
15-Aug-18,77,97,87,-
16-Aug-18,79,98,88.5,-
17-Aug-18,80,99,89.5,-
18-Aug-18,75,101,88,0.09
19-Aug-18,76,96,86,-
20-Aug-18,77,95,86,-
21-Aug-18,73,92,82.5,-
22-Aug-18,72,95,83.5,-
23-Aug-18,73,98,85.5,-
24-Aug-18,79,98,88.5,-
25-Aug-18,79,97,88,-
26-Aug-18,78,95,86.5,-
27-Aug-18,79,97,88,-
28-Aug-18,79,98,88.5,-
29-Aug-18,78,98,88,-
30-Aug-18,74,95,84.5,-
31-Aug-18,77,97,87,-
1-Sep-18,78,95,86.5,-
2-Sep-18,76,94,85,-
3-Sep-18,74,81,77.5,0.24
4-Sep-18,75,91,83,-
5-Sep-18,78,91,84.5,-
6-Sep-18,74,93,83.5,0.82
7-Sep-18,74,92,83,0.51
8-Sep-18,72,76,74,0.96
9-Sep-18,68,75,71.5,-
10-Sep-18,69,78,73.5,0.03
11-Sep-18,68,79,73.5,0.04
12-Sep-18,71,86,78.5,0.1
13-Sep-18,70,89,79.5,-
14-Sep-18,71,86,78.5,0.45
15-Sep-18,72,91,81.5,-
16-Sep-18,74,92,83,-
17-Sep-18,75,93,84,-
18-Sep-18,74,94,84,-
19-Sep-18,75,94,84.5,-
20-Sep-18,74,90,82,0.06
21-Sep-18,72,86,79,4.75
22-Sep-18,67,76,71.5,3.39
23-Sep-18,66,72,69,0.03
24-Sep-18,70,81,75.5,-
25-Sep-18,69,91,80,-
26-Sep-18,59,76,67.5,0.88
27-Sep-18,60,79,69.5,-
28-Sep-18,60,77,68.5,-
29-Sep-18,67,79,73,0.31
30-Sep-18,70,85,77.5,-
1-Oct-18,70,86,78,-
2-Oct-18,70,86,78,-
3-Oct-18,73,91,82,-
4-Oct-18,73,89,81,-
5-Oct-18,74,90,82,-
6-Oct-18,72,89,80.5,0.28
7-Oct-18,71,89,80,0.13
8-Oct-18,70,82,76,0.58
9-Oct-18,62,75,68.5,2.27
10-Oct-18,58,72,65,-
11-Oct-18,52,73,62.5,-
12-Oct-18,60,67,63.5,0.56
13-Oct-18,60,66,63,2.21
14-Oct-18,49,80,64.5,0.06
15-Oct-18,41,49,45,2.84
16-Oct-18,44,52,48,1.69
17-Oct-18,48,56,52,0.58
18-Oct-18,54,67,60.5,-
19-Oct-18,56,61,58.5,1.1
20-Oct-18,54,73,63.5,-
21-Oct-18,49,70,59.5,-
22-Oct-18,47,65,56,-
23-Oct-18,55,72,63.5,-
24-Oct-18,53,58,55.5,2.16
25-Oct-18,54,63,58.5,0.02
26-Oct-18,51,73,62,-
27-Oct-18,51,83,67,-
28-Oct-18,58,87,72.5,-
29-Oct-18,58,83,70.5,-
30-Oct-18,67,82,74.5,-
31-Oct-18,52,69,60.5,1.14
1-Nov-18,48,63,55.5,-
2-Nov-18,46,73,59.5,-
3-Nov-18,48,75,61.5,0.32
4-Nov-18,49,65,57,-
5-Nov-18,51,81,66,-
6-Nov-18,54,73,63.5,-
7-Nov-18,56,69,62.5,-
8-Nov-18,50,57,53.5,0.29
9-Nov-18,41,54,47.5,-
10-Nov-18,32,52,42,-
11-Nov-18,45,52,48.5,0.09
12-Nov-18,33,46,39.5,0.15
13-Nov-18,29,41,35,-
14-Nov-18,25,48,36.5,-
15-Nov-18,29,66,47.5,-
16-Nov-18,37,72,54.5,-
17-Nov-18,44,70,57,-
18-Nov-18,37,60,48.5,-
19-Nov-18,36,54,45,-
20-Nov-18,36,58,47,-
21-Nov-18,34,60,47,-
22-Nov-18,38,64,51,-
23-Nov-18,51,75,63,-
24-Nov-18,43,74,58.5,-
25-Nov-18,39,61,50,-
26-Nov-18,32,51,41.5,-
27-Nov-18,31,66,48.5,-
28-Nov-18,42,71,56.5,-
29-Nov-18,51,78,64.5,-
30-Nov-18,63,73,68,0.01
1-Dec-18,54,72,63,-
2-Dec-18,45,58,51.5,-
3-Dec-18,38,53,45.5,-
4-Dec-18,30,47,38.5,-
5-Dec-18,29,54,41.5,-
6-Dec-18,46,53,49.5,0.2
7-Dec-18,42,46,44,0.64
8-Dec-18,37,42,39.5,0.44
9-Dec-18,37,50,43.5,-
10-Dec-18,30,58,44,-
11-Dec-18,33,60,46.5,-
12-Dec-18,47,63,55,-
13-Dec-18,44,66,55,0.09
14-Dec-18,42,50,46,-
15-Dec-18,37,61,49,-
16-Dec-18,36,66,51,-
17-Dec-18,41,55,48,-
18-Dec-18,35,63,49,-
19-Dec-18,50,59,54.5,0.03
20-Dec-18,46,59,52.5,-
21-Dec-18,39,58,48.5,-
22-Dec-18,41,66,53.5,-
23-Dec-18,41,55,48,-
24-Dec-18,35,61,48,-
25-Dec-18,55,64,59.5,-
26-Dec-18,54,66,60,2.18
27-Dec-18,40,62,51,0.26
28-Dec-18,33,46,39.5,-
29-Dec-18,35,40,37.5,-
30-Dec-18,35,41,38,0.01
31-Dec-18,38,61,49.5,0.45
1-Jan-19,34,43,38.5,-
2-Jan-19,32,35,33.5,0.7
3-Jan-19,34,40,37,0.43
4-Jan-19,37,59,48,-
5-Jan-19,34,70,52,-
6-Jan-19,44,68,56,-
7-Jan-19,52,74,63,-
8-Jan-19,47,66,56.5,-
9-Jan-19,41,59,50,-
10-Jan-19,40,51,45.5,-
11-Jan-19,44,54,49,0.4
12-Jan-19,41,55,48,0.02
13-Jan-19,36,41,38.5,-
14-Jan-19,35,45,40,-
15-Jan-19,36,50,43,-
16-Jan-19,42,64,53,-
17-Jan-19,41,58,49.5,-
18-Jan-19,40,69,54.5,0.01
19-Jan-19,30,61,45.5,-
20-Jan-19,25,47,36,-
21-Jan-19,35,59,47,-
22-Jan-19,37,61,49,0.02
23-Jan-19,27,48,37.5,-
24-Jan-19,28,58,43,-
25-Jan-19,27,52,39.5,-
26-Jan-19,32,57,44.5,-
27-Jan-19,32,62,47,-
28-Jan-19,38,61,49.5,-
29-Jan-19,28,47,37.5,-
30-Jan-19,33,51,42,-
31-Jan-19,39,55,47,-
1-Feb-19,52,62,57,0.03
2-Feb-19,53,66,59.5,-
3-Feb-19,60,72,66,-
4-Feb-19,58,80,69,-
5-Feb-19,60,78,69,-
6-Feb-19,68,77,72.5,-
7-Feb-19,29,71,50,-
8-Feb-19,23,36,29.5,-
9-Feb-19,34,39,36.5,0.11
10-Feb-19,35,44,39.5,0.1
11-Feb-19,44,59,51.5,0.34
12-Feb-19,39,57,48,-
13-Feb-19,35,62,48.5,-
14-Feb-19,50,78,64,-
15-Feb-19,36,73,54.5,-
16-Feb-19,33,42,37.5,0.01
17-Feb-19,38,53,45.5,-
18-Feb-19,32,43,37.5,-
19-Feb-19,35,39,37,0.35
20-Feb-19,37,58,47.5,-
21-Feb-19,39,52,45.5,0.01
22-Feb-19,45,49,47,0.08
23-Feb-19,47,69,58,0.01
24-Feb-19,36,59,47.5,-
25-Feb-19,37,65,51,-
26-Feb-19,48,64,56,-
27-Feb-19,31,62,46.5,0.01
28-Feb-19,29,37,33,-
1-Mar-19,32,45,38.5,-
2-Mar-19,37,42,39.5,0.07
3-Mar-19,27,41,34,0.01
4-Mar-19,21,32,26.5,-
5-Mar-19,21,45,33,-
6-Mar-19,27,54,40.5,-
7-Mar-19,42,75,58.5,-
8-Mar-19,54,79,66.5,-
9-Mar-19,57,77,67,0.29
10-Mar-19,50,60,55,-
11-Mar-19,49,62,55.5,0.08
12-Mar-19,56,67,61.5,0.07
13-Mar-19,54,71,62.5,1.08
14-Mar-19,47,65,56,-
15-Mar-19,41,60,50.5,-
16-Mar-19,36,61,48.5,-
17-Mar-19,39,66,52.5,-
18-Mar-19,42,71,56.5,-
19-Mar-19,48,72,60,-
20-Mar-19,49,66,57.5,-
21-Mar-19,44,77,60.5,-
22-Mar-19,48,77,62.5,-
23-Mar-19,60,71,65.5,-
24-Mar-19,60,83,71.5,0.25
25-Mar-19,53,72,62.5,0.15
26-Mar-19,48,71,59.5,-
27-Mar-19,51,76,63.5,-
28-Mar-19,58,77,67.5,-
29-Mar-19,62,73,67.5,-
30-Mar-19,46,67,56.5,0.01
31-Mar-19,40,55,47.5,-
1-Apr-19,40,62,51,-
2-Apr-19,41,72,56.5,-
3-Apr-19,50,70,60,-
4-Apr-19,61,83,72,-
5-Apr-19,54,79,66.5,-
6-Apr-19,58,67,62.5,0.34
7-Apr-19,57,71,64,0.15
8-Apr-19,59,84,71.5,-
9-Apr-19,53,89,71,-
10-Apr-19,67,90,78.5,-
11-Apr-19,51,73,62,-
12-Apr-19,44,71,57.5,-
13-Apr-19,42,62,52,1.78
14-Apr-19,44,67,55.5,0.03
15-Apr-19,50,79,64.5,-
16-Apr-19,62,76,69,-
17-Apr-19,60,83,71.5,0.04
18-Apr-19,55,72,63.5,0.83
19-Apr-19,52,68,60,-
20-Apr-19,47,80,63.5,-
21-Apr-19,59,82,70.5,-
22-Apr-19,64,79,71.5,-
23-Apr-19,60,75,67.5,0.9
24-Apr-19,61,67,64,1.55
25-Apr-19,59,82,70.5,-
26-Apr-19,57,78,67.5,-
27-Apr-19,57,85,71,-
28-Apr-19,63,82,72.5,-
29-Apr-19,67,83,75,-
30-Apr-19,72,82,77,0.01
1-May-19,63,85,74,0.67
2-May-19,61,80,70.5,0.48
3-May-19,61,79,70,-
4-May-19,61,78,69.5,0.3
5-May-19,58,82,70,-
6-May-19,68,83,75.5,-
7-May-19,66,85,75.5,-
8-May-19,61,72,66.5,1.94
9-May-19,52,73,62.5,0.02
10-May-19,50,57,53.5,0.03
11-May-19,55,65,60,1.48
12-May-19,57,77,67,-
13-May-19,58,82,70,-
14-May-19,60,84,72,-
15-May-19,63,86,74.5,-
16-May-19,67,86,76.5,-
17-May-19,70,87,78.5,-
18-May-19,63,77,70,2.18
19-May-19,66,84,75,-
20-May-19,70,87,78.5,-
21-May-19,66,84,75,0.18
22-May-19,64,89,76.5,-
23-May-19,76,90,83,-
24-May-19,75,89,82,-
25-May-19,72,90,81,-
26-May-19,73,90,81.5,-
27-May-19,72,89,80.5,-
28-May-19,73,85,79,-
29-May-19,68,81,74.5,0.87
30-May-19,66,85,75.5,-
31-May-19,67,86,76.5,-
1-Jun-19,66,91,78.5,0.28
2-Jun-19,69,85,77,0.02
3-Jun-19,73,92,82.5,-
4-Jun-19,72,86,79,-
5-Jun-19,73,84,78.5,0.02
6-Jun-19,68,90,79,0.08
7-Jun-19,69,87,78,-
8-Jun-19,71,93,82,-
9-Jun-19,68,91,79.5,0.39
10-Jun-19,68,82,75,-
11-Jun-19,64,78,71,-
12-Jun-19,63,88,75.5,-
13-Jun-19,65,88,76.5,-
14-Jun-19,68,91,79.5,-
15-Jun-19,75,93,84,-
16-Jun-19,64,82,73,2.42
17-Jun-19,64,87,75.5,-
18-Jun-19,70,93,81.5,-
19-Jun-19,70,97,83.5,0.42
20-Jun-19,73,96,84.5,-
21-Jun-19,80,96,88,-
22-Jun-19,80,91,85.5,-
23-Jun-19,69,94,81.5,0.5
24-Jun-19,68,85,76.5,-
25-Jun-19,72,91,81.5,-
26-Jun-19,70,90,80,-
27-Jun-19,72,91,81.5,-
28-Jun-19,74,94,84,-
29-Jun-19,73,98,85.5,-
30-Jun-19,70,89,79.5,-
1-Jul-19,72,91,81.5,-
2-Jul-19,76,91,83.5,-
3-Jul-19,74,92,83,-
4-Jul-19,77,93,85,-
5-Jul-19,78,93,85.5,-
6-Jul-19,73,94,83.5,0.07
7-Jul-19,75,97,86,-
8-Jul-19,77,95,86,-
9-Jul-19,78,96,87,-
10-Jul-19,73,98,85.5,0.7
11-Jul-19,74,96,85,-
12-Jul-19,74,92,83,-
13-Jul-19,74,93,83.5,-
14-Jul-19,75,89,82,-
15-Jul-19,73,94,83.5,-
16-Jul-19,80,97,88.5,-
17-Jul-19,78,96,87,-
18-Jul-19,78,96,87,-
19-Jul-19,78,97,87.5,-
20-Jul-19,78,97,87.5,-
21-Jul-19,77,97,87,-
22-Jul-19,77,94,85.5,0.01
23-Jul-19,74,89,81.5,-
24-Jul-19,71,89,80,-
25-Jul-19,67,89,78,-
26-Jul-19,69,90,79.5,-
27-Jul-19,70,93,81.5,-
28-Jul-19,75,96,85.5,-
29-Jul-19,79,95,87,-
30-Jul-19,77,100,88.5,-
31-Jul-19,75,97,86,-
1-Aug-19,77,96,86.5,-
2-Aug-19,77,96,86.5,-
3-Aug-19,76,89,82.5,0.2
4-Aug-19,77,94,85.5,0.02
5-Aug-19,77,96,86.5,-
6-Aug-19,80,98,89,-
7-Aug-19,81,100,90.5,-
8-Aug-19,81,97,89,-
9-Aug-19,81,101,91,-
10-Aug-19,80,101,90.5,-
11-Aug-19,79,100,89.5,-
12-Aug-19,81,101,91,-
13-Aug-19,81,102,91.5,-
14-Aug-19,73,95,84,0.5
15-Aug-19,76,97,86.5,-
16-Aug-19,79,100,89.5,-
17-Aug-19,80,100,90,-
18-Aug-19,80,99,89.5,-
19-Aug-19,80,100,90,-
20-Aug-19,79,101,90,-
21-Aug-19,78,99,88.5,-
22-Aug-19,80,98,89,-
23-Aug-19,80,95,87.5,-
24-Aug-19,77,94,85.5,0.23
25-Aug-19,75,98,86.5,-
26-Aug-19,80,102,91,-
27-Aug-19,71,88,79.5,0.31
28-Aug-19,74,94,84,-
29-Aug-19,75,98,86.5,-
30-Aug-19,70,93,81.5,1.18
31-Aug-19,71,88,79.5,-
1-Sep-19,71,95,83,-
2-Sep-19,75,96,85.5,-
3-Sep-19,77,96,86.5,-
4-Sep-19,77,97,87,-
5-Sep-19,75,98,86.5,-
6-Sep-19,74,100,87,-
7-Sep-19,75,100,87.5,-
8-Sep-19,76,99,87.5,-
9-Sep-19,76,95,85.5,-
10-Sep-19,75,96,85.5,-
11-Sep-19,73,95,84,-
12-Sep-19,73,96,84.5,-
13-Sep-19,77,95,86,-
14-Sep-19,75,98,86.5,-
15-Sep-19,76,98,87,-
16-Sep-19,78,96,87,-
17-Sep-19,74,94,84,-
18-Sep-19,74,93,83.5,-
19-Sep-19,74,82,78,-
20-Sep-19,75,96,85.5,-
21-Sep-19,77,94,85.5,-
22-Sep-19,76,93,84.5,-
23-Sep-19,78,96,87,-
24-Sep-19,77,95,86,-
25-Sep-19,77,97,87,-
26-Sep-19,77,95,86,-
27-Sep-19,74,94,84,-
28-Sep-19,78,95,86.5,-
29-Sep-19,78,95,86.5,-
30-Sep-19,76,93,84.5,-
1-Oct-19,76,95,85.5,-
2-Oct-19,75,95,85,-
3-Oct-19,74,94,84,-
4-Oct-19,73,90,81.5,-
5-Oct-19,71,94,82.5,-
6-Oct-19,65,97,81,-
7-Oct-19,60,80,70,-
8-Oct-19,56,79,67.5,-
9-Oct-19,61,89,75,-
10-Oct-19,57,91,74,0.52
11-Oct-19,43,63,53,0.21
12-Oct-19,42,66,54,-
13-Oct-19,54,79,66.5,-
14-Oct-19,59,76,67.5,0.02
15-Oct-19,67,86,76.5,-
16-Oct-19,54,67,60.5,-
17-Oct-19,47,74,60.5,-
18-Oct-19,49,77,63,-
19-Oct-19,62,85,73.5,0.04
20-Oct-19,55,88,71.5,0.08
21-Oct-19,52,73,62.5,0.76
22-Oct-19,47,74,60.5,-
23-Oct-19,53,81,67,-
24-Oct-19,48,76,62,1.18
25-Oct-19,44,49,46.5,0.16
26-Oct-19,47,68,57.5,-
27-Oct-19,45,77,61,-
28-Oct-19,48,64,56,0.03
29-Oct-19,43,49,46,0.52
30-Oct-19,36,44,40,0.5
31-Oct-19,30,51,40.5,-
1-Nov-19,31,62,46.5,-
2-Nov-19,38,63,50.5,-
3-Nov-19,38,69,53.5,-
4-Nov-19,50,77,63.5,-
5-Nov-19,57,65,61,0.03
6-Nov-19,60,77,68.5,-
7-Nov-19,42,70,56,0.71
8-Nov-19,41,54,47.5,-
9-Nov-19,39,69,54,-
10-Nov-19,47,75,61,-
11-Nov-19,29,65,47,0.01
12-Nov-19,22,39,30.5,-
13-Nov-19,23,47,35,-
14-Nov-19,40,58,49,-
15-Nov-19,33,60,46.5,-
16-Nov-19,36,64,50,-
17-Nov-19,38,68,53,-
18-Nov-19,39,72,55.5,-
19-Nov-19,44,80,62,-
20-Nov-19,59,77,68,0.01
21-Nov-19,51,79,65,0.03
22-Nov-19,41,51,46,0.16
23-Nov-19,34,57,45.5,-
24-Nov-19,36,70,53,-
25-Nov-19,46,72,59,-
26-Nov-19,53,74,63.5,-
27-Nov-19,41,55,48,-
28-Nov-19,42,49,45.5,0.44
29-Nov-19,44,71,57.5,0.2
30-Nov-19,54,72,63,0.21
1-Dec-19,42,58,50,-
2-Dec-19,38,57,47.5,-
3-Dec-19,38,69,53.5,-
4-Dec-19,40,70,55,-
5-Dec-19,48,73,60.5,-
6-Dec-19,45,64,54.5,-
7-Dec-19,39,63,51,-
8-Dec-19,48,71,59.5,-
9-Dec-19,39,73,56,-
10-Dec-19,34,45,39.5,0.54
11-Dec-19,32,54,43,-
12-Dec-19,34,58,46,-
13-Dec-19,38,62,50,-
14-Dec-19,36,65,50.5,-
15-Dec-19,44,72,58,-
16-Dec-19,36,44,40,-
17-Dec-19,29,51,40,-
18-Dec-19,27,59,43,-
19-Dec-19,31,59,45,-
20-Dec-19,38,50,44,-
21-Dec-19,43,48,45.5,-
22-Dec-19,36,54,45,-
23-Dec-19,33,66,49.5,-
24-Dec-19,38,71,54.5,-
25-Dec-19,41,72,56.5,-
26-Dec-19,47,64,55.5,-
27-Dec-19,55,70,62.5,-
28-Dec-19,52,66,59,0.63
29-Dec-19,42,53,47.5,-
30-Dec-19,37,54,45.5,-
31-Dec-19,31,56,43.5,-
1-Jan-20,40,56,48,-
2-Jan-20,45,61,53,-
3-Jan-20,42,61,51.5,-
4-Jan-20,34,58,46,-
5-Jan-20,38,69,53.5,-
6-Jan-20,38,65,51.5,-
7-Jan-20,34,64,49,-
8-Jan-20,36,64,50,-
9-Jan-20,58,70,64,-
10-Jan-20,42,70,56,1.47
11-Jan-20,30,43,36.5,0.07
12-Jan-20,30,57,43.5,-
13-Jan-20,39,61,50,-
14-Jan-20,57,73,65,-
15-Jan-20,59,81,70,-
16-Jan-20,45,59,52,2.09
17-Jan-20,48,62,55,0.29
